Latitude,Longitude,YearMonth,ndci
-28.760833,17.730278,2011-01,
-26.861111,28.884722,2011-01,
-26.45,28.085833,2011-01,
-27.671111,27.236944,2011-01,
-27.356667,27.286389,2011-01,
-27.010111,26.698083,2011-01,
-25.127778,27.628889,2011-01,
-25.20639,27.558,2011-01,
-24.69514,27.40906,2011-01,
-26.984722,26.632278,2011-01,
-28.141944,26.417778,2011-01,
-27.398611,26.614722,2011-01,
-33.501667,21.624167,2011-01,
-32.502778,19.535833,2011-01,
-25.459639,28.264306,2011-01,
-27.495556,26.074722,2011-01,
-26.648056,27.089444,2011-01,
-26.970278,27.211111,2011-01,
-27.389722,26.463889,2011-01,
-27.044444,27.005,2011-01,
-30.830556,26.921389,2011-01,
-27.00222,28.76528,2011-01,
-27.02314,28.59389,2011-01,
-30.679722,26.7125,2011-01,
-30.160091,27.40124,2011-01,
-32.595833,19.009444,2011-01,
-25.99136,27.84208,2011-01,
-26.73806,27.59194,2011-01,
-30.860139,29.07125,2011-01,
-25.73411,27.21422,2011-01,
-29.160278,26.573333,2011-01,
-34.250556,20.9925,2011-01,
-25.810483,27.909552,2011-01,
-27.273889,28.49,2011-01,
-27.4275,28.525833,2011-01,
-28.883333,27.89,2011-01,
-30.534167,24.961944,2011-01,
-28.460833,21.248889,2011-01,
-29.658056,25.973333,2011-01,
-25.513889,31.224444,2011-01,
-31.554722,29.245556,2011-01,
-28.058889,30.373611,2011-01,
-25.681111,31.783333,2011-01,
-27.802778,28.768333,2011-01,
-31.104278,29.399722,2011-01,
-31.396,29.2651,2011-01,
-33.38056,19.30167,2011-01,
-33.313889,19.074722,2011-01,
-24.396194,27.089833,2011-01,
-26.880278,26.965,2011-01,
-27.3,28.586944,2011-01,
-30.568333,29.422778,2011-01,
-30.570833,29.150556,2011-01,
-34.031944,22.053333,2011-01,
-33.13083,18.86278,2011-01,
-33.7075,18.974444,2011-01,
-25.578778,29.127472,2011-01,
-26.006389,29.253889,2011-01,
-30.775867,29.032217,2011-01,
-24.925278,29.324444,2011-01,
-24.679167,30.8025,2011-01,
-25.49037,30.6986,2011-01,
-33.818056,19.694722,2011-01,
-33.897778,20.012778,2011-01,
-34.065833,20.404167,2011-01,
-24.058889,31.237222,2011-01,
-34.092222,21.295278,2011-01,
-25.127778,27.628889,2011-02,
-24.69514,27.40906,2011-02,
-27.363611,31.783333,2011-02,
-27.802778,28.768333,2011-02,
-29.160278,26.573333,2011-02,
