Latitude,Longitude,Sample Date,red,blue,green,nir,swir16,swir22
-26.45,28.085833,03-01-2011,12540.0,9502.5,10720.0,15210.0,17974.0,14201.0
-28.760833,17.730278,02-01-2011,12802.0,9557.0,11426.0,11190.0,7687.5,7645.0
-27.671111,27.236944,03-01-2011,11237.5,9693.5,10943.0,14887.0,13522.0,11403.0
-26.861111,28.884722,03-01-2011,9241.5,8691.0,9550.0,17658.5,13746.5,10574.0
-25.20639,27.558,04-01-2011,9985.0,10039.0,10466.5,14137.5,10315.5,8536.0
-25.127778,27.628889,04-01-2011,5122.0,4984.0,5189.5,7814.0,6664.0,5222.0
-27.356667,27.286389,03-01-2011,9290.0,8718.0,9502.5,16828.5,12665.5,9643.0
-27.01011111,26.69808333,04-01-2011,10728.5,9344.0,10433.5,12433.5,9579.5,8531.5
-24.69514,27.40906,04-01-2011,10524.0,9921.0,10647.0,15543.0,11919.5,9642.5
-27.398611,26.614722,04-01-2011,10126.0,9253.5,10247.0,15515.5,12823.0,10403.5
-26.98472222,26.63227778,04-01-2011,10262.5,9414.0,10207.0,13683.0,14011.5,11850.5
-28.141944,26.417778,04-01-2011,9679.0,9085.5,9840.0,14391.0,13799.5,11265.0
-25.45963889,28.26430556,04-01-2011,11096.0,9139.0,9926.0,13959.0,15156.5,12552.5
-27.495556,26.074722,04-01-2011,11540.5,9490.5,11044.5,17937.5,18143.5,14152.5
-33.501667,21.624167,04-01-2011,,,,,,
-32.502778,19.535833,04-01-2011,14613.0,10579.0,13104.0,17653.0,19330.0,16984.0
-27.38972222,26.46388889,05-01-2011,11926.0,10130.0,11597.0,11481.0,8583.0,8196.5
-26.970278,27.211111,05-01-2011,11496.0,9671.5,11040.0,10218.0,7946.5,7735.0
-27.044444,27.005,05-01-2011,9503.5,8882.5,9908.0,17418.5,13987.0,10115.0
-26.648056,27.089444,05-01-2011,8963.5,8535.0,9597.0,19310.5,12954.5,9447.5
-27.02314,28.59389,06-01-2011,10129.0,8893.0,9969.5,11490.5,10372.5,9135.0
-27.00222,28.76528,06-01-2011,9947.0,8743.0,9691.0,13724.0,13005.5,10754.5
-30.830556,26.921389,06-01-2011,4479.0,4189.0,4491.0,5266.5,3672.5,3764.5
-30.679722,26.7125,06-01-2011,11938.0,9235.5,10548.0,13400.0,7764.0,7659.0
-32.595833,19.009444,06-01-2011,10903.5,9227.5,10334.0,15218.5,14735.0,12208.5
-30.160091,27.40124,06-01-2011,10522.5,9063.0,10060.0,14158.0,12037.5,10023.5
-25.99136,27.84208,10-01-2011,11898.0,10629.0,11771.5,18631.5,16495.0,12815.0
-26.73806,27.59194,10-01-2011,8961.0,8719.0,9167.0,9089.5,7963.0,7740.0
-26.45,28.085833,10-01-2011,12540.0,9502.5,10720.0,15210.0,17974.0,14201.0
-30.86013889,29.07125,10-01-2011,11634.0,9396.0,10724.5,14558.0,11450.0,10000.5
-27.356667,27.286389,10-01-2011,9290.0,8718.0,9502.5,16828.5,12665.5,9643.0
-25.73411,27.21422,11-01-2011,17879.5,16362.5,17765.0,21914.0,22170.5,17965.5
-27.01011111,26.69808333,11-01-2011,10728.5,9344.0,10433.5,12433.5,9579.5,8531.5
-26.98472222,26.63227778,11-01-2011,10262.5,9414.0,10207.0,13683.0,14011.5,11850.5
-27.398611,26.614722,11-01-2011,10126.0,9253.5,10247.0,15515.5,12823.0,10403.5
-27.671111,27.236944,11-01-2011,11237.5,9693.5,10943.0,14887.0,13522.0,11403.0
-29.160278,26.573333,11-01-2011,,,,,,
-25.45963889,28.26430556,11-01-2011,11096.0,9139.0,9926.0,13959.0,15156.5,12552.5
-34.250556,20.9925,11-01-2011,9192.0,8456.0,9019.0,12323.0,13161.0,10800.5
-27.273889,28.49,12-01-2011,9407.5,8456.5,9060.0,12333.0,9264.5,8181.0
-27.4275,28.525833,12-01-2011,11296.0,9231.0,10794.0,16767.0,18026.5,15340.5
-25.81048333,27.90955222,12-01-2011,9553.5,8693.0,9753.0,16870.5,13408.0,10257.0
-27.00222,28.76528,13-01-2011,9947.0,8743.0,9691.0,13724.0,13005.5,10754.5
-27.02314,28.59389,13-01-2011,10129.0,8893.0,9969.5,11490.5,10372.5,9135.0
-28.883333,27.89,12-01-2011,9399.5,8398.5,9248.0,14007.5,12553.5,9979.0
-30.534167,24.961944,13-01-2011,10773.5,9795.0,10835.0,15132.5,13586.0,11169.0
-29.658056,25.973333,14-01-2011,11157.5,9396.0,10765.0,14001.0,12520.0,10583.0
-28.460833,21.248889,13-01-2011,13063.0,10832.0,12046.5,14599.0,12067.0,11038.5
-28.760833,17.730278,16-01-2011,12802.0,9557.0,11426.0,11190.0,7687.5,7645.0
-25.513889,31.224444,17-01-2011,9137.5,8486.0,9116.5,14776.0,12424.0,9895.0
-25.127778,27.628889,18-01-2011,5122.0,4984.0,5189.5,7814.0,6664.0,5222.0
-31.554722,29.245556,17-01-2011,8850.0,8558.0,9449.0,19619.0,13890.0,10042.0
-28.058889,30.373611,17-01-2011,9431.0,8452.5,9326.0,14514.0,12189.5,9706.0
-26.861111,28.884722,17-01-2011,9241.5,8691.0,9550.0,17658.5,13746.5,10574.0
-25.20639,27.558,18-01-2011,9985.0,10039.0,10466.5,14137.5,10315.5,8536.0
-24.69514,27.40906,18-01-2011,10524.0,9921.0,10647.0,15543.0,11919.5,9642.5
-25.681111,31.783333,18-01-2011,11154.0,9686.5,10809.0,13298.5,10191.0,9261.0
-27.398611,26.614722,18-01-2011,10126.0,9253.5,10247.0,15515.5,12823.0,10403.5
-27.802778,28.768333,18-01-2011,9811.5,8857.5,9803.5,12128.5,9325.0,8486.0
-31.396,29.2651,18-01-2011,13003.0,9782.5,11835.5,12488.0,8894.0,8335.0
-31.104278,29.399722,18-01-2011,,,,,,
-33.38056,19.30167,18-01-2011,11320.5,9572.0,10665.5,15820.0,16377.5,13975.0
-33.31388889,19.07472222,18-01-2011,9965.0,8765.0,9546.5,13162.5,12786.0,10889.0
-24.39619444,27.08983333,19-01-2011,,,,,,
-27.495556,26.074722,18-01-2011,11540.5,9490.5,11044.5,17937.5,18143.5,14152.5
-26.970278,27.211111,19-01-2011,11496.0,9671.5,11040.0,10218.0,7946.5,7735.0
-26.880278,26.965,19-01-2011,9354.5,8695.0,9582.5,14265.0,14182.0,11071.5
-27.273889,28.49,19-01-2011,9407.5,8456.5,9060.0,12333.0,9264.5,8181.0
-27.3,28.586944,19-01-2011,9929.5,8561.0,9636.0,14954.0,14753.0,11537.5
-27.044444,27.005,19-01-2011,9503.5,8882.5,9908.0,17418.5,13987.0,10115.0
-30.570833,29.150556,19-01-2011,,,,,,
-30.568333,29.422778,19-01-2011,8964.5,8429.5,9196.5,16880.0,12987.5,10366.5
-34.031944,22.053333,19-01-2011,7826.0,7784.0,7859.0,9058.0,8310.0,7822.0
-33.13083,18.86278,19-01-2011,12122.5,9873.5,11456.5,15187.0,14527.0,12799.0
-33.7075,18.97444444,19-01-2011,10330.5,8918.0,9913.0,14270.0,13652.0,11469.5
-25.57877778,29.12747222,19-01-2011,11586.5,9017.0,10076.0,13560.0,16388.0,13014.0
-27.02314,28.59389,20-01-2011,10129.0,8893.0,9969.5,11490.5,10372.5,9135.0
-26.006389,29.253889,20-01-2011,,,,,,
