Latitude,Longitude,Sample Date,ppt,tmax,tmin,pet,soil,def,ppt_3mo,ppt_6mo,tmax_3mo
-28.760833,17.730278,02-01-2011,8.3,35.76,21.029999,236.3,0.0,228.40001,12.100000000000005,15.700000000000005,34.680008
-26.861111,28.884722,03-01-2011,175.0,25.41,14.099999,134.3,35.7,0.0,383.1,410.30000000000007,26.593336
-26.45,28.085833,03-01-2011,156.10000000000002,26.07,15.25,141.5,9.900001,0.0,361.8,381.0000000000001,27.199997
-27.671111,27.236944,03-01-2011,194.70000000000002,27.599998,15.96,152.40001,28.2,0.0,407.40000000000003,430.1,29.063335
-27.356667,27.286389,03-01-2011,180.4,27.21,16.15,151.90001,21.300001,0.0,385.8,407.6,28.71
-27.01011111,26.69808333,04-01-2011,168.5,27.849998,16.75,155.7,5.3,0.0,356.0,373.5,29.230001
-25.127778,27.628889,04-01-2011,107.4,30.33,18.77,158.2,1.1,56.100002,285.50000000000006,296.8,31.65
-25.20639,27.558,04-01-2011,110.10000000000001,30.029999,18.6,156.5,1.1,51.9,289.2,300.6,31.470005
-24.69514,27.40906,04-01-2011,108.2,30.519999,19.84,157.8,1.4,54.9,289.5,300.90000000000003,32.096664
-26.98472222,26.63227778,04-01-2011,170.3,28.01,17.0,155.2,8.3,0.0,356.90000000000003,373.6,29.336668
-28.141944,26.417778,04-01-2011,187.0,28.17,16.539999,157.0,22.300001,0.0,392.6,413.5,29.640003
-27.398611,26.614722,04-01-2011,173.20000000000002,28.359999,17.039999,160.7,4.3,0.0,370.40000000000003,393.10000000000014,29.800001
-33.501667,21.624167,04-01-2011,15.700000000000001,29.51,13.78,185.90001,0.1,171.0,67.50000000000003,127.40000000000002,27.539999
-32.502778,19.535833,04-01-2011,4.0,34.01,16.359999,229.6,0.6,225.8,19.999999999999993,47.00000000000003,31.980001
-25.45963889,28.26430556,04-01-2011,122.4,28.779999,17.5,149.5,1.4,33.100002,307.6,324.3,30.043335
-27.495556,26.074722,04-01-2011,162.8,28.59,16.6,163.8,0.4,9.1,341.4,356.30000000000007,29.963333
